COSMoS_BC_ID,NCIt_Code,BC_Name,BC_Definition,BC_Synonyms,BC_Type,BC_Scope,TESTCD,TEST,TESTCD_NCIt,Categories,Hierarchy_Path,Parent_Label,Row_Type,Domains_with_DS,DS_Code,DS_Name,Domain,Domain_Class,Result_Scale,Specimen,Specimen_NCIt,Method,Method_NCIt,LOINC_Code_Count,LOINC_Code,Allowed_Units,Standard_Unit,COSMoS_Category,COSMoS_Subcategory,Decimal_Places,location,laterality,evaluator
C158297,C158297,Fetal Head Circumference,A circumferential measurement of the fetal head at the widest point.,FTHDCIRC,full,Subject,FTHDCIRC,Fetal Head Circumference,C158297,Body Measurements; Fetal Body Measurements; Vital Signs,Anatomical Circumference > Head Circumference,Head Circumference,DSS,VS,FTHDCIRC,Fetal Head Circumference,VS,Findings,Quantitative,,,,,0.0,,cm; in; mm,,,,3.0,,,
C92715,C92715,Fetal Heart Finding,An observation of the fetal heart that may or may not be abnormal.,,hierarchy_only,Subject,,,,Fetal Heart Findings; Heart Findings; Vital Signs,Cardiovascular System Finding,Cardiovascular System Finding,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C92716,C92716,Fetal Heart Rate,The number of fetal cardiac beats per minute.,Fetal HR;FTHR,full,Subject,FTHR,Fetal Heart Rate,C92716,Fetal Heart Findings; Heart Findings; Vital Signs,Cardiovascular System Finding > Fetal Heart Finding,Fetal Heart Finding,DSS,VS,FTHR,Fetal Heart Rate,VS,Findings,Quantitative,,,,,0.0,,beats/min,,,,3.0,,,
C174375,C174375,Fetal Mandibular Length,A measurement of the length of the fetal mandible.,FTMANDL,full,Subject,FTMANDL,Fetal Mandibular Length,C174375,Body Measurements; Fetal Body Measurements; Vital Signs,Mandibular Length,Mandibular Length,DSS,VS,FTMANDL,Fetal Mandibular Length,VS,Findings,Quantitative,,,,,0.0,,cm; in; mm,,,,3.0,,,
C174373,C174373,Fetal Sagittal Abdominal Diameter,A measurement of the sagittal abdominal diameter of the fetus.,Fetal SAD;FTSAD,full,Subject,FTSAD,Fetal Sagittal Abdominal Diameter,C174373,Body Measurements; Fetal Body Measurements; Vital Signs,Diameter > Sagittal Abdominal Diameter,Sagittal Abdominal Diameter,DSS,VS,FTSAD,Fetal Sagittal Abdominal Diameter,VS,Findings,Quantitative,,,,,0.0,,cm; in; mm,,,,3.0,,,
C214762,C214762,Fetal Size-for-Gestational Age Category,"An assessed relationship of the fetal size and gestational age to that of a reference population, expressed as a category.",FTSZGAC,full,Subject,FTSZGAC,Fetal Size-for-Gestational Age Category,C214762,Body Measurements; Fetal Body Measurements; Vital Signs,Clinical Observations Category,Clinical Observations Category,DSS,VS,FTSZGAC,Fetal Size-for-Gestational Age Category,VS,Findings,Qualitative,,,,,0.0,,,,,,2.0,,,
C174374,C174374,Fetal Weight-for-Gestational Age Percentile,"An assessed relationship of the fetus' weight and gestational age to that of a reference population, expressed as a percentile.",Fetal Weight-for-Gest Age Percentile;FTWTGAPL,full,Subject,FTWTGAPL,Fetal Weight-for-Gest Age Percentile,C174374,Body Measurements; Fetal Body Measurements; Vital Signs,Weight-for-Age Percentile,Weight-for-Age Percentile,DSS,VS,FTWTGAPL,Fetal Weight-for-Gest Age Percentile,VS,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C202446,C202446,First Ventilatory Threshold,The point during activity or exercise at which ventilation begins to increase at a faster rate than oxygen consumption. This threshold is characterized by aerobic metabolism.,Ventilatory Threshold 1;VT1,full,Subject,VT1,Ventilatory Threshold 1,C202446,Respiratory System Findings,Ventilatory Threshold,Ventilatory Threshold,DSS,RE,VT1_RE,Ventilatory Threshold 1 (RE),RE,Findings,Quantitative,,,,,0.0,,mL/kg/min,mL/kg/min,,,3.0,,,
C119545,C119545,Forced Expiratory Flow at 25-75 Percent,The mean forced expiratory flow rate at 25-75% of the forced vital capacity.,FEF2575;Forced Expiratory Flow 25-75%,full,Subject,FEF2575,Forced Expiratory Flow 25-75%,C119545,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEF2575_RE,Forced Expiratory Flow 25-75% (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C139253,C139253,Forced Expiratory Flow at 50 Percent Forced Vital Capacity,The mean forced expiratory flow rate at 50% of the forced vital capacity.,FEF50;Forced Expiratory Flow 50%,full,Subject,FEF50,Forced Expiratory Flow 50%,C139253,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEF50_RE,Forced Expiratory Flow 50% (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C139250,C139250,Forced Expiratory Flow in 0.05 Second,The forced expiratory flow rate during the first 0.05 seconds of a forced exhalation.,FEF_05;FEF 0.05s,full,Subject,FEF_05,Forced Expiratory Flow in 0.05 Second,C139250,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEF_05_RE,Forced Expiratory Flow in 0.05 Second (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C139251,C139251,Forced Expiratory Flow in 0.1 Second,The forced expiratory flow rate during the first 0.1 seconds of a forced exhalation.,FEF_1;FEF 0.1s,full,Subject,FEF_1,Forced Expiratory Flow in 0.1 Second,C139251,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEF_1_RE,Forced Expiratory Flow in 0.1 Second (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
